mass,weight,sample,role
331.9898,1.0,Data,data
175.7723,1.0,Data,data
201.54745,1.0,Data,data
264.06046,1.0,Data,data
158.82271,1.0,Data,data
121.21655,1.0,Data,data
90.53825,1.0,Data,data
303.39172,1.0,Data,data
232.44035,1.0,Data,data
109.9464,1.0,Data,data
327.24258,1.0,Data,data
276.53134,1.0,Data,data
89.529106,1.0,Data,data
50.52641,1.0,Data,data
195.81781,1.0,Data,data
466.45984,1.0,Data,data
271.00302,1.0,Data,data
240.75499,1.0,Data,data
522.56116,1.0,Data,data
293.2373,1.0,Data,data
227.18732,1.0,Data,data
438.69928,1.0,Data,data
131.873,1.0,Data,data
347.95752,1.0,Data,data
320.30066,1.0,Data,data
287.20178,1.0,Data,data
305.10245,1.0,Data,data
278.72217,1.0,Data,data
94.44964,1.0,Data,data
227.22314,1.0,Data,data
91.58537,1.0,Data,data
181.58395,1.0,Data,data
209.35027,1.0,Data,data
91.82021,1.0,Data,data
85.31202,1.0,Data,data
122.76223,1.0,Data,data
165.97223,1.0,Data,data
207.46921,1.0,Data,data
282.5503,1.0,Data,data
264.34607,1.0,Data,data
89.29173,1.0,Data,data
92.7435,1.0,Data,data
188.65788,1.0,Data,data
165.31844,1.0,Data,data
172.51216,1.0,Data,data
221.911,1.0,Data,data
153.07924,1.0,Data,data
538.1816,1.0,Data,data
236.4843,1.0,Data,data
385.59128,1.0,Data,data
181.37842,1.0,Data,data
123.12908,1.0,Data,data
189.89442,1.0,Data,data
198.95505,1.0,Data,data
175.95172,1.0,Data,data
212.3836,1.0,Data,data
296.8961,1.0,Data,data
203.73705,1.0,Data,data
385.71274,1.0,Data,data
230.37132,1.0,Data,data
227.15964,1.0,Data,data
200.438,1.0,Data,data
158.66678,1.0,Data,data
94.10136,1.0,Data,data
288.26898,1.0,Data,data
220.06534,1.0,Data,data
130.48466,1.0,Data,data
257.63977,1.0,Data,data
292.39978,1.0,Data,data
246.49367,1.0,Data,data
206.75616,1.0,Data,data
89.22645,1.0,Data,data
356.1539,1.0,Data,data
159.76237,1.0,Data,data
230.86742,1.0,Data,data
178.59727,1.0,Data,data
160.83243,1.0,Data,data
281.33096,1.0,Data,data
417.97244,1.0,Data,data
98.290825,1.0,Data,data
147.54472,1.0,Data,data
127.718376,1.0,Data,data
221.19579,1.0,Data,data
239.91805,1.0,Data,data
225.3354,1.0,Data,data
376.05295,1.0,Data,data
173.61444,1.0,Data,data
159.37697,1.0,Data,data
236.90608,1.0,Data,data
225.53008,1.0,Data,data
211.15898,1.0,Data,data
197.70764,1.0,Data,data
197.08884,1.0,Data,data
180.36588,1.0,Data,data
123.28245,1.0,Data,data
187.88686,1.0,Data,data
391.12177,1.0,Data,data
95.04387,1.0,Data,data
188.07721,1.0,Data,data
231.27478,1.0,Data,data
134.50946,1.0,Data,data
387.1429,1.0,Data,data
467.35547,1.0,Data,data
122.36565,1.0,Data,data
88.84062,1.0,Data,data
646.98346,1.0,Data,data
355.8164,1.0,Data,data
231.59232,1.0,Data,data
364.6276,1.0,Data,data
189.82547,1.0,Data,data
282.9992,1.0,Data,data
130.05362,1.0,Data,data
216.64462,1.0,Data,data
367.44705,1.0,Data,data
259.38513,1.0,Data,data
381.76736,1.0,Data,data
91.79069,1.0,Data,data
108.83734,1.0,Data,data
216.33922,1.0,Data,data
200.27248,1.0,Data,data
257.9901,1.0,Data,data
327.67358,1.0,Data,data
303.61768,1.0,Data,data
356.57657,1.0,Data,data
207.47209,1.0,Data,data
189.70549,1.0,Data,data
212.28526,1.0,Data,data
207.56538,1.0,Data,data
205.68259,1.0,Data,data
103.49453,1.0,Data,data
360.42075,1.0,Data,data
89.20613,1.0,Data,data
125.5743,1.0,Data,data
333.84894,1.0,Data,data
303.11533,1.0,Data,data
246.36972,1.0,Data,data
194.40395,1.0,Data,data
221.94315,1.0,Data,data
217.1982,1.0,Data,data
143.54384,1.0,Data,data
242.62347,1.0,Data,data
93.238655,1.0,Data,data
85.278625,1.0,Data,data
235.90245,1.0,Data,data
389.00116,1.0,Data,data
156.75575,1.0,Data,data
186.1256,1.0,Data,data
184.61816,1.0,Data,data
195.39908,1.0,Data,data
1047.2334,1.0,Data,data
222.35658,1.0,Data,data
258.14044,1.0,Data,data
233.00829,1.0,Data,data
338.20923,1.0,Data,data
249.1472,1.0,Data,data
227.20702,1.0,Data,data
166.22447,1.0,Data,data
256.54187,1.0,Data,data
200.32376,1.0,Data,data
187.63368,1.0,Data,data
346.60495,1.0,Data,data
229.60707,1.0,Data,data
232.34387,1.0,Data,data
258.1912,1.0,Data,data
235.76566,1.0,Data,data
251.03194,1.0,Data,data
184.8786,1.0,Data,data
212.06554,1.0,Data,data
241.7338,1.0,Data,data
90.697075,1.0,Data,data
146.28929,1.0,Data,data
459.3148,1.0,Data,data
497.3379,1.0,Data,data
251.57982,1.0,Data,data
281.85483,1.0,Data,data
239.69734,1.0,Data,data
324.7932,1.0,Data,data
274.2212,1.0,Data,data
253.83278,1.0,Data,data
122.14419,1.0,Data,data
203.73381,1.0,Data,data
797.15674,1.0,Data,data
124.501884,1.0,Data,data
198.36267,1.0,Data,data
283.67368,1.0,Data,data
134.18018,1.0,Data,data
269.52768,1.0,Data,data
254.07935,1.0,Data,data
259.01968,1.0,Data,data
235.76184,1.0,Data,data
212.78537,1.0,Data,data
245.76653,1.0,Data,data
137.66846,1.0,Data,data
124.285416,1.0,Data,data
204.83331,1.0,Data,data
289.1106,1.0,Data,data
224.1081,1.0,Data,data
127.53164,1.0,Data,data
270.85614,1.0,Data,data
202.50722,1.0,Data,data
283.54883,1.0,Data,data
191.86914,1.0,Data,data
215.9659,1.0,Data,data
316.44302,1.0,Data,data
107.00796,1.0,Data,data
311.2144,1.0,Data,data
180.438,1.0,Data,data
186.5092,1.0,Data,data
100.641266,1.0,Data,data
196.38876,1.0,Data,data
130.39938,1.0,Data,data
390.6766,1.0,Data,data
240.34795,1.0,Data,data
233.90192,1.0,Data,data
200.7007,1.0,Data,data
303.31543,1.0,Data,data
218.86838,1.0,Data,data
258.76633,1.0,Data,data
195.37157,1.0,Data,data
209.97433,1.0,Data,data
239.21375,1.0,Data,data
550.0655,1.0,Data,data
230.296,1.0,Data,data
90.39177,1.0,Data,data
232.96324,1.0,Data,data
202.06992,1.0,Data,data
230.07217,1.0,Data,data
204.1199,1.0,Data,data
333.09183,1.0,Data,data
240.15604,1.0,Data,data
266.5534,1.0,Data,data
180.28871,1.0,Data,data
222.79124,1.0,Data,data
90.18247,1.0,Data,data
208.95428,1.0,Data,data
185.67445,1.0,Data,data
147.77048,1.0,Data,data
197.17699,1.0,Data,data
257.5867,1.0,Data,data
265.10474,1.0,Data,data
237.95108,1.0,Data,data
200.80836,1.0,Data,data
450.39835,1.0,Data,data
233.14795,1.0,Data,data
236.2959,1.0,Data,data
244.64598,1.0,Data,data
255.20946,1.0,Data,data
147.32368,1.0,Data,data
417.82294,1.0,Data,data
274.96912,1.0,Data,data
168.18066,1.0,Data,data
217.31915,1.0,Data,data
102.088196,1.0,Data,data
253.00201,1.0,Data,data
200.62956,1.0,Data,data
266.12085,1.0,Data,data
93.77751,1.0,Data,data
187.5731,1.0,Data,data
221.39758,1.0,Data,data
133.79759,1.0,Data,data
87.536255,1.0,Data,data
214.58653,1.0,Data,data
